Wavelength;Channel 1
1512.199999999998;-37.37
1512.219999999998;-37.54
1512.239999999998;-37.62
1512.259999999998;-37.78
1512.279999999998;-37.92
1512.299999999998;-37.98
1512.319999999998;-38.41
1512.3399999999979;-38.42
1512.3599999999979;-38.56
1512.3799999999978;-38.72
1512.3999999999978;-38.85
1512.4199999999978;-39.01
1512.4399999999978;-39.14
1512.4599999999978;-39.57
1512.4799999999977;-39.94
1512.4999999999977;-40.27
1512.5199999999977;-40.69
1512.5399999999977;-40.82
1512.5599999999977;-41.33
1512.5799999999977;-41.55
1512.5999999999976;-41.67
1512.6199999999976;-42.03
1512.6399999999976;-42.7
1512.6599999999976;-43.04
1512.6799999999976;-43.17
1512.6999999999975;-43.61
1512.7199999999975;-43.69
1512.7399999999975;-43.88
1512.7599999999975;-44.13
1512.7799999999975;-43.88
1512.7999999999975;-43.63
1512.8199999999974;-43.06
1512.8399999999974;-42.58
1512.8599999999974;-42.15
1512.8799999999974;-41.73
1512.8999999999974;-41.21
1512.9199999999973;-40.72
1512.9399999999973;-40.1
1512.9599999999973;-39.55
1512.9799999999973;-39.2
1512.9999999999973;-38.89
1513.0199999999973;-38.44
1513.0399999999972;-37.96
1513.0599999999972;-37.53
1513.0799999999972;-37.18
1513.0999999999972;-36.85
1513.1199999999972;-36.49
1513.1399999999971;-36.22
1513.1599999999971;-36.1
1513.179999999997;-35.96
1513.199999999997;-35.85
1513.219999999997;-35.78
1513.239999999997;-35.69
1513.259999999997;-35.56
1513.279999999997;-35.5
1513.299999999997;-35.53
1513.319999999997;-35.49
1513.339999999997;-35.54
1513.359999999997;-35.51
1513.379999999997;-35.5
1513.399999999997;-35.56
1513.419999999997;-35.64
1513.4399999999969;-35.66
1513.4599999999969;-35.71
1513.4799999999968;-35.82
1513.4999999999968;-35.85
1513.5199999999968;-35.98
1513.5399999999968;-36.07
1513.5599999999968;-36.23
1513.5799999999967;-36.27
1513.5999999999967;-36.41
1513.6199999999967;-36.65
1513.6399999999967;-36.85
1513.6599999999967;-37.05
1513.6799999999967;-37.34
1513.6999999999966;-37.63
1513.7199999999966;-37.87
1513.7399999999966;-38.22
1513.7599999999966;-38.55
1513.7799999999966;-38.88
1513.7999999999965;-39.24
1513.8199999999965;-39.73
1513.8399999999965;-40.29
1513.8599999999965;-40.91
1513.8799999999965;-41.47
1513.8999999999965;-41.97
1513.9199999999964;-42.74
1513.9399999999964;-43.76
1513.9599999999964;-44.25
1513.9799999999964;-45.25
1513.9999999999964;-46.57
1514.0199999999963;-47.26
1514.0399999999963;-47.98
1514.0599999999963;-48.89
1514.0799999999963;-48.56
1514.0999999999963;-48.12
1514.1199999999963;-46.34
1514.1399999999962;-45.86
1514.1599999999962;-45.03
1514.1799999999962;-43.96
1514.1999999999962;-42.86
1514.2199999999962;-42.07
1514.2399999999961;-41.39
1514.2599999999961;-40.79
1514.279999999996;-39.91
1514.299999999996;-39.19
1514.319999999996;-38.68
1514.339999999996;-38.19
1514.359999999996;-37.76
1514.379999999996;-37.34
1514.399999999996;-36.87
1514.419999999996;-36.35
1514.439999999996;-35.96
1514.459999999996;-35.68
1514.479999999996;-35.46
1514.499999999996;-35.21
1514.519999999996;-35.01
1514.5399999999959;-34.83
1514.5599999999959;-34.73
1514.5799999999958;-34.59
1514.5999999999958;-34.44
1514.6199999999958;-34.33
1514.6399999999958;-34.31
1514.6599999999958;-34.16
1514.6799999999957;-34.1
1514.6999999999957;-34.15
1514.7199999999957;-34.11
1514.7399999999957;-34.05
1514.7599999999957;-34.11
1514.7799999999957;-34.1
1514.7999999999956;-34.14
1514.8199999999956;-34.17
1514.8399999999956;-34.22
1514.8599999999956;-34.27
1514.8799999999956;-34.31
1514.8999999999955;-34.34
1514.9199999999955;-34.47
1514.9399999999955;-34.58
1514.9599999999955;-34.71
1514.9799999999955;-34.85
1514.9999999999955;-34.97
1515.0199999999954;-35.05
1515.0399999999954;-35.19
1515.0599999999954;-35.36
1515.0799999999954;-35.49
1515.0999999999954;-35.69
1515.1199999999953;-35.85
1515.1399999999953;-36.04
1515.1599999999953;-36.35
1515.1799999999953;-36.7
1515.1999999999953;-37.17
1515.2199999999953;-37.52
1515.2399999999952;-37.95
1515.2599999999952;-38.39
1515.2799999999952;-38.76
1515.2999999999952;-39.24
1515.3199999999952;-39.77
1515.3399999999951;-40.6
1515.3599999999951;-41.72
1515.379999999995;-42.58
1515.399999999995;-43.3
1515.419999999995;-44.63
1515.439999999995;-46.06
1515.459999999995;-47.39
1515.479999999995;-48.6
1515.499999999995;-49.34
1515.519999999995;-49.69
1515.539999999995;-49.1
1515.559999999995;-47.18
1515.579999999995;-45.23
1515.599999999995;-43.88
1515.619999999995;-42.69
1515.6399999999949;-41.65
1515.6599999999949;-40.88
1515.6799999999948;-40.09
1515.6999999999948;-39.3
1515.7199999999948;-38.63
1515.7399999999948;-38.13
1515.7599999999948;-37.6
1515.7799999999947;-37.03
1515.7999999999947;-36.44
1515.8199999999947;-36.09
1515.8399999999947;-35.75
1515.8599999999947;-35.45
1515.8799999999947;-35.21
1515.8999999999946;-35.01
1515.9199999999946;-34.75
1515.9399999999946;-34.55
1515.9599999999946;-34.37
1515.9799999999946;-34.15
1515.9999999999945;-33.98
1516.0199999999945;-33.85
1516.0399999999945;-33.74
1516.0599999999945;-33.68
1516.0799999999945;-33.62
1516.0999999999945;-33.51
1516.1199999999944;-33.44
1516.1399999999944;-33.37
1516.1599999999944;-33.42
1516.1799999999944;-33.42
1516.1999999999944;-33.37
1516.2199999999943;-33.37
1516.2399999999943;-33.4
1516.2599999999943;-33.44
1516.2799999999943;-33.43
1516.2999999999943;-33.47
1516.3199999999943;-33.53
1516.3399999999942;-33.52
1516.3599999999942;-33.55
1516.3799999999942;-33.69
1516.3999999999942;-33.78
1516.4199999999942;-33.85
1516.4399999999941;-33.92
1516.4599999999941;-34.04
1516.479999999994;-34.14
1516.499999999994;-34.29
1516.519999999994;-34.42
1516.539999999994;-34.51
1516.559999999994;-34.66
1516.579999999994;-34.86
1516.599999999994;-35.03
1516.619999999994;-35.18
1516.639999999994;-35.4
1516.659999999994;-35.58
1516.679999999994;-35.82
1516.699999999994;-36.08
1516.719999999994;-36.31
1516.7399999999939;-36.73
1516.7599999999939;-37.17
1516.7799999999938;-37.75
1516.7999999999938;-38.23
1516.8199999999938;-38.75
1516.8399999999938;-39.43
1516.8599999999938;-40.13
1516.8799999999937;-41.01
1516.8999999999937;-41.66
1516.9199999999937;-42.47
1516.9399999999937;-43.53
1516.9599999999937;-44.74
1516.9799999999937;-45.05
1516.9999999999936;-45.52
1517.0199999999936;-46.18
1517.0399999999936;-46.5
1517.0599999999936;-46.23
1517.0799999999936;-44.78
1517.0999999999935;-43.37
1517.1199999999935;-42.57
1517.1399999999935;-41.71
1517.1599999999935;-40.75
1517.1799999999935;-39.87
1517.1999999999935;-39.09
1517.2199999999934;-38.53
1517.2399999999934;-38.07
1517.2599999999934;-37.55
1517.2799999999934;-36.91
1517.2999999999934;-36.5
1517.3199999999933;-36.07
1517.3399999999933;-35.79
1517.3599999999933;-35.52
1517.3799999999933;-35.25
1517.3999999999933;-34.98
1517.4199999999933;-34.73
1517.4399999999932;-34.48
1517.4599999999932;-34.31
1517.4799999999932;-34.19
1517.4999999999932;-34.05
1517.5199999999932;-33.95
1517.5399999999931;-33.82
1517.5599999999931;-33.69
1517.579999999993;-33.61
